Agency,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBCnews,0.6369,Sun Nov 05 18:46:35 +0000 2017,0.0,0.49,0.51,"@AndyShepp_rd @BBCNews @MikeGapes Dear dear, say what?",77
@BBCnews,-0.5267,Sun Nov 05 18:46:33 +0000 2017,0.159,0.841,0.0,The editorial decisions of @BBCNews are beginning to resemble the juvenile conspiracy- seeking of a 20 year old anarcho- communist.,78
@BBCnews,0.0,Sun Nov 05 18:46:30 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",79
@BBCnews,-0.1027,Sun Nov 05 18:46:30 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,80
@BBCnews,0.0,Sun Nov 05 18:46:16 +0000 2017,0.0,1.0,0.0,@BBCNews https://t.co/MH7OHRFQxK,81
@BBCnews,0.5994,Sun Nov 05 18:46:14 +0000 2017,0.116,0.601,0.283,"@BBCNews I hope you aren't deriving too much pleasure @BBCNews You aid &amp; abet tax avoidance.

#Hypocrisy… https://t.co/vIYXnyKNHL",82
@BBCnews,0.5719,Sun Nov 05 18:46:11 +0000 2017,0.0,0.773,0.227,MPs join @WYFRS crews to see what a busy #bonfire wkend is like.  @UKParliament @BBCNews @GMB @SkyNews @simonisrael… https://t.co/5se8oZMzGt,83
@BBCnews,0.0,Sun Nov 05 18:46:08 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",84
@BBCnews,-0.4144,Sun Nov 05 18:45:59 +0000 2017,0.158,0.775,0.067,@modbet_UK @BBCNews 😂😂 proper uneducated. Can't string an informative sentence together so resorts to insults. Kids… https://t.co/GHHiM1gClh,85
@BBCnews,0.0,Sun Nov 05 18:45:57 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",86
@BBCnews,0.0,Sun Nov 05 18:45:56 +0000 2017,0.0,1.0,0.0,@BBCNews https://t.co/VHTQLYPiXo,87
@BBCnews,-0.1027,Sun Nov 05 18:45:48 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,88
@BBCnews,0.296,Sun Nov 05 18:45:48 +0000 2017,0.107,0.728,0.165,@SupposATory @nw_nicholas @pplwhocantpark @StickMan_v7 @BBCNews No. Would you be kind enough to check I'm not trans… https://t.co/OjlM4lCZVL,89
@BBCnews,0.0,Sun Nov 05 18:45:46 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",90
@BBCnews,-0.1027,Sun Nov 05 18:45:43 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,91
@BBCnews,0.0,Sun Nov 05 18:45:43 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",92
@BBCnews,0.6369,Sun Nov 05 18:45:42 +0000 2017,0.0,0.161,0.839,@BBCNews Dear dear,93
@BBCnews,0.0,Sun Nov 05 18:45:40 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",94
@BBCnews,0.0,Sun Nov 05 18:45:37 +0000 2017,0.0,1.0,0.0,RT @leighdynamo1: #Marr #bbc #bbcnews @bbclaurak @BBCNews what action is being taken on this? https://t.co/G7UJ3iCb4v,95
@BBCnews,0.0,Sun Nov 05 18:45:36 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",96
@BBCnews,-0.1027,Sun Nov 05 18:45:35 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,97
@BBCnews,0.5994,Sun Nov 05 18:45:31 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,98
@BBCnews,0.0,Sun Nov 05 18:45:31 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",99
@BBCnews,-0.1027,Sun Nov 05 18:45:29 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,100
@CBSnews,0.0,Sun Nov 05 18:51:21 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: Six weeks after Hurricane Maria, Puerto Rico is still mostly without electricity https://t.co/U9ovHN5Vgz https://t.co/N69kUvMD…",1
@CBSnews,0.0,Sun Nov 05 18:51:20 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",2
@CBSnews,0.0,Sun Nov 05 18:51:19 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: Ousted Catalan president Carles Puigdemont and 4 ex-regional ministers taken into custody, Brussels prosecutors say https://t.…",3
@CBSnews,0.0,Sun Nov 05 18:51:18 +0000 2017,0.0,1.0,0.0,@CBSNews @KENS5 https://t.co/VHTQLYPiXo,4
@CBSnews,0.0,Sun Nov 05 18:51:17 +0000 2017,0.0,1.0,0.0,"A veteran's car, and a son's keepsake https://t.co/VF7GfjH0Jr via @cbsnews",5
@CBSnews,0.0,Sun Nov 05 18:51:16 +0000 2017,0.0,1.0,0.0,"Witnesses say several people shot at church in Sutherland Springs, Texas https://t.co/ihO9PyZpH0 via @cbsnews",6
@CBSnews,0.0,Sun Nov 05 18:51:14 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",7
@CBSnews,0.0,Sun Nov 05 18:51:13 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",8
@CBSnews,0.0,Sun Nov 05 18:51:12 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",9
@CBSnews,-0.3612,Sun Nov 05 18:51:11 +0000 2017,0.128,0.872,0.0,Wondering why journalism sucks these days? This @CBSNews story has at least 43 @taboola ads on it  https://t.co/RakZKYozhh,10
@CBSnews,0.0,Sun Nov 05 18:51:10 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: Six weeks after Hurricane Maria, Puerto Rico is still mostly without electricity https://t.co/U9ovHN5Vgz https://t.co/N69kUvMD…",11
@CBSnews,0.0,Sun Nov 05 18:51:09 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",12
@CBSnews,0.0,Sun Nov 05 18:51:09 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",13
@CBSnews,0.0,Sun Nov 05 18:51:09 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",14
@CBSnews,0.0,Sun Nov 05 18:51:09 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",15
@CBSnews,0.0,Sun Nov 05 18:51:06 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",16
@CBSnews,0.0,Sun Nov 05 18:51:06 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",17
@CBSnews,0.3412,Sun Nov 05 18:50:59 +0000 2017,0.0,0.882,0.118,RT @CBSNews: White House statement on President Trump's call with Saudi Arabia's King Salman doesn't mention overnight arrests https://t.co…,18
@CBSnews,0.0,Sun Nov 05 18:50:52 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",19
@CBSnews,0.0,Sun Nov 05 18:50:51 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",20
@CBSnews,-0.296,Sun Nov 05 18:50:48 +0000 2017,0.104,0.896,0.0,@CBSNews @KENS5 This church shooting needs to stop it is becoming a trend and his is the last place for this.,21
@CBSnews,0.3412,Sun Nov 05 18:50:47 +0000 2017,0.0,0.882,0.118,RT @CBSNews: White House statement on President Trump's call with Saudi Arabia's King Salman doesn't mention overnight arrests https://t.co…,22
@CBSnews,0.0,Sun Nov 05 18:50:47 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",23
@CBSnews,0.6908,Sun Nov 05 18:50:46 +0000 2017,0.0,0.749,0.251,"RT @CBSNews: Special counsel Robert Mueller's grand jury is investigating Tony Podesta and Vin Weber, AP reports https://t.co/bcVzmEWprt ht…",24
@CBSnews,0.0,Sun Nov 05 18:50:45 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",25
@CBSnews,0.0,Sun Nov 05 18:50:45 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",26
@CBSnews,0.0,Sun Nov 05 18:50:44 +0000 2017,0.0,1.0,0.0,"RT @CBSNews: DEVELOPING: Witnesses tell CBS affiliate @KENS5 several people have been shot at church in Sutherland Springs, Texas https://t…",27
